drug_name	total_signals	female_signals	male_signals	mean_log_ratio	total_reports	pct_female
MOMETASONE	119	56	63	-0.041663636986931436	16205	47.1
MEROPENEM	119	103	16	0.6479044308378838	8648	86.6
FORMOTEROL;MOMETASONE	118	17	101	-0.9244487931321703	26471	14.4
LIDOCAINE	118	23	95	-0.6381725316666985	10338	19.5
NICOTINE	117	29	88	-0.38969001354448174	14326	24.8
MACROGOL	117	23	94	-0.8392137914933043	15121	19.7
TORASEMIDE	116	58	58	0.0009247670110161667	11673	50.0
GLATIRAMER	114	13	101	-0.5775409647171723	33383	11.4
TENOFOVIR	114	73	41	0.29695144990947336	17847	64.0
BENDAMUSTINE	113	93	20	0.5743140793016809	10656	82.3
CABOZANTINIB	112	75	37	0.29698782473611873	10215	67.0
