adverse_event	n_total	n_drugs	n_female	n_male	pct_female
Hyperthermia	42	42	29	13	69.0
Blood pressure abnormal	42	42	18	24	42.9
Heart rate irregular	42	42	19	23	45.2
Joint dislocation	42	42	23	19	54.8
Purpura	42	42	29	13	69.0
Hip arthroplasty	42	42	29	13	69.0
Myocardial ischaemia	42	42	37	5	88.1
Laboratory test abnormal	42	42	33	9	78.6
Glossodynia	41	41	15	26	36.6
Mental impairment	41	41	14	27	34.1
Sneezing	41	41	19	22	46.3
Diabetes mellitus inadequate control	41	41	32	9	78.0
Hypersomnia	41	41	22	19	53.7
Hyperthyroidism	41	41	15	26	36.6
Musculoskeletal chest pain	41	41	14	27	34.1
Arteriosclerosis coronary artery	41	41	21	20	51.2
Mass	40	40	8	32	20.0
Multiple sclerosis	40	40	6	34	15.0
Mydriasis	40	40	16	24	40.0
Middle insomnia	40	40	12	28	30.0
Haemophagocytic lymphohistiocytosis	40	40	33	7	82.5
Coordination abnormal	40	40	19	21	47.5
Hallucination, auditory	40	40	19	21	47.5
Asphyxia	40	40	20	20	50.0
Blood calcium increased	40	40	10	30	25.0
Bronchospasm	40	40	21	19	52.5
Osteomyelitis	40	40	32	8	80.0
C-reactive protein abnormal	40	40	21	19	52.5
Foetal growth restriction	40	40	16	24	40.0
Increased appetite	40	40	11	29	27.5
Feeling jittery	40	40	10	30	25.0
Fracture	39	39	14	25	35.9
Foot deformity	39	39	16	23	41.0
Brain injury	39	39	31	8	79.5
Gingival bleeding	39	39	30	9	76.9
Blood uric acid increased	39	39	25	14	64.1
Enterococcal infection	39	39	33	6	84.6
Drug dose omission	39	39	21	18	53.8
Mitral valve incompetence	39	39	18	21	46.2
Small intestinal obstruction	39	39	23	16	59.0
Muscle rigidity	39	39	33	6	84.6
Hepatitis acute	39	39	22	17	56.4
Poisoning deliberate	39	39	16	23	41.0
Plasma cell myeloma	39	39	33	6	84.6
Oral pain	39	39	20	19	51.3
Apathy	38	38	20	18	52.6
COVID-19 pneumonia	38	38	17	21	44.7
Joint range of motion decreased	38	38	28	10	73.7
Acidosis	38	38	24	14	63.2
Motor dysfunction	38	38	14	24	36.8
Upper limb fracture	38	38	12	26	31.6
