adverse_event	n_signals	n_drugs	n_female_signals	n_male_signals	pct_female	mean_abs_lr	median_abs_lr	max_abs_lr	total_reports
Neutrophil count abnormal	8	8	6	2	75.000	0.791	0.658	1.486	589
Neutropenic infection	8	8	8	0	100.000	1.052	1.074	1.596	403
Cardiac amyloidosis	8	8	8	0	100.000	1.399	1.498	1.913	643
Application site swelling	8	8	1	7	12.500	0.832	0.724	1.716	573
Renal artery stenosis	8	8	5	3	62.500	0.809	0.775	1.338	401
Cardiac valve disease	8	8	6	2	75.000	0.610	0.586	0.818	353
Application site rash	8	8	3	5	37.500	0.908	0.774	1.353	2120
Application site irritation	8	8	7	1	87.500	0.725	0.572	1.513	4300
Cataract operation	8	8	1	7	12.500	0.746	0.713	1.282	447
Neoplasm skin	8	8	5	3	62.500	0.730	0.687	1.263	577
Physical deconditioning	8	8	5	3	62.500	0.771	0.655	1.417	622
Negative thoughts	8	8	1	7	12.500	0.895	0.800	1.238	333
Heart disease congenital	8	8	7	1	87.500	0.759	0.692	1.162	262
Nasal septum deviation	8	8	0	8	0.000	0.848	0.864	1.268	317
Tumour marker increased	8	8	1	7	12.500	1.118	1.052	1.873	655
Spinal cord compression	8	8	7	1	87.500	1.142	1.137	1.668	343
Renal transplant	8	8	7	1	87.500	0.669	0.570	1.078	692
Renal tubular acidosis	8	8	5	3	62.500	0.837	0.796	1.377	354
Aortic valve stenosis	8	8	3	5	37.500	1.496	1.269	3.363	699
Renal tubular injury	8	8	7	1	87.500	0.978	0.914	1.689	338
Mutism	8	8	6	2	75.000	1.089	0.879	1.758	426
High density lipoprotein decreased	8	8	7	1	87.500	0.733	0.657	1.400	399
Toxoplasmosis	8	8	5	3	62.500	0.916	0.812	1.661	590
Antipsychotic drug level increased	8	8	6	2	75.000	0.947	0.864	1.622	800
Respiratory disorder neonatal	8	8	5	3	62.500	1.165	1.113	1.902	494
Mucosal dryness	8	8	1	7	12.500	1.045	1.072	2.138	290
Wrong patient	8	8	6	2	75.000	1.027	0.928	1.729	339
Communication disorder	8	8	5	3	62.500	0.834	0.776	1.130	512
Campylobacter infection	8	8	7	1	87.500	0.974	0.852	1.723	353
Tumour necrosis	8	8	6	2	75.000	0.819	0.768	1.392	261
Tongue oedema	8	8	5	3	62.500	0.978	0.885	1.667	435
Atypical pneumonia	8	8	2	6	25.000	0.856	0.631	1.605	469
Radiation pneumonitis	8	8	6	2	75.000	0.846	0.840	1.518	476
Paraparesis	8	8	6	2	75.000	0.872	0.863	1.288	257
Bicytopenia	8	8	4	4	50.000	0.758	0.683	1.121	437
Pathological fracture	8	8	2	6	25.000	0.742	0.724	1.116	1071
Pyelonephritis acute	8	8	0	8	0.000	0.938	0.868	1.440	378
Axial spondyloarthritis	8	8	0	8	0.000	1.250	0.961	2.462	500
Peptic ulcer	8	8	5	3	62.500	0.863	0.793	1.277	491
Autonomic nervous system imbalance	8	8	2	6	25.000	1.112	1.059	1.558	404
Blood creatine increased	8	8	5	3	62.500	0.788	0.609	1.902	308
Urinary tract obstruction	8	8	8	0	100.000	1.201	1.217	1.784	282
Blood creatinine decreased	8	8	7	1	87.500	0.851	0.798	1.438	427
Blood glucose fluctuation	8	8	3	5	37.500	0.822	0.743	1.192	416
Osteosclerosis	8	8	0	8	0.000	1.533	1.534	2.220	1028
Blood pressure inadequately controlled	8	8	5	3	62.500	0.763	0.648	1.466	785
Normocytic anaemia	8	8	4	4	50.000	0.801	0.692	1.423	385
Atrioventricular block second degree	8	8	7	1	87.500	0.832	0.722	1.533	553
Recalled product administered	8	8	3	5	37.500	1.061	0.949	1.862	555
Oral mucosal blistering	8	8	0	8	0.000	0.735	0.672	1.196	305
Peripheral motor neuropathy	8	8	8	0	100.000	1.049	1.097	1.536	460
Upper respiratory tract congestion	8	8	0	8	0.000	0.943	0.973	1.255	453
Hepatic cyst	8	8	3	5	37.500	0.977	0.825	1.713	408
Bone lesion	8	8	3	5	37.500	0.796	0.748	1.110	437
Bone marrow toxicity	8	8	3	5	37.500	0.855	0.777	1.648	483
Oesophageal ulcer	8	8	5	3	62.500	0.732	0.670	1.246	482
Asthenopia	8	8	1	7	12.500	1.076	1.231	1.509	999
Oesophageal pain	8	8	1	7	12.500	0.804	0.767	1.201	441
Oesophageal carcinoma	8	8	6	2	75.000	0.794	0.576	1.403	1356
Hypophysitis	8	8	8	0	100.000	0.956	0.958	1.349	2160
Conjunctivitis allergic	8	8	0	8	0.000	2.509	2.127	4.357	1096
Colorectal cancer metastatic	8	8	8	0	100.000	0.788	0.720	1.168	2090
Tongue discolouration	8	8	2	6	25.000	1.200	0.984	2.812	289
Amyloidosis	8	8	5	3	62.500	0.702	0.597	1.076	537
Goitre	8	8	0	8	0.000	1.050	0.943	1.841	480
Small intestinal perforation	8	8	4	4	50.000	0.925	0.817	1.667	642
Disseminated aspergillosis	8	8	6	2	75.000	1.182	1.110	1.807	590
Metastatic malignant melanoma	8	8	7	1	87.500	0.905	0.748	1.628	798
Prerenal failure	8	8	7	1	87.500	0.985	0.923	1.637	378
Procedural haemorrhage	8	8	0	8	0.000	0.829	0.805	1.100	798
Lip oedema	8	8	6	2	75.000	0.634	0.587	0.856	492
Drug level below therapeutic	8	8	4	4	50.000	0.810	0.830	0.975	448
White blood cell disorder	8	8	2	6	25.000	0.783	0.655	1.166	282
Duodenal ulcer perforation	8	8	3	5	37.500	1.957	1.447	4.828	9236
Duodenitis	8	8	5	3	62.500	0.804	0.786	0.946	376
Product administered to patient of inappropriate age	8	8	3	5	37.500	0.657	0.542	1.073	844
Pruritus genital	8	8	4	4	50.000	0.686	0.626	1.201	1503
Hyperparathyroidism	8	8	1	7	12.500	0.835	0.839	1.122	483
Ear disorder	8	8	0	8	0.000	0.841	0.793	1.316	374
Scleritis	8	8	4	4	50.000	0.914	0.829	1.718	828
Adenocarcinoma	8	8	7	1	87.500	0.711	0.694	0.949	339
Kyphosis	8	8	2	6	25.000	0.950	0.925	1.742	585
Engraftment syndrome	8	8	7	1	87.500	1.258	1.316	1.634	312
Enuresis	8	8	3	5	37.500	0.959	0.903	1.615	1265
Juvenile idiopathic arthritis	8	8	4	4	50.000	1.151	0.761	2.624	1495
Joint ankylosis	8	8	0	8	0.000	1.787	1.508	3.085	623
Sjogren's syndrome	8	8	0	8	0.000	1.380	1.462	1.924	639
Secondary progressive multiple sclerosis	8	8	0	8	0.000	0.953	0.964	1.226	1349
Self esteem decreased	8	8	5	3	62.500	0.846	0.759	1.440	479
Product preparation error	8	8	2	6	25.000	0.772	0.640	1.732	6477
Subdural haemorrhage	8	8	8	0	100.000	0.688	0.610	1.069	789
Disease complication	8	8	6	2	75.000	0.861	0.674	1.796	570
Skin hypertrophy	8	8	2	6	25.000	0.669	0.623	1.005	427
Low density lipoprotein increased	8	8	3	5	37.500	0.735	0.677	1.016	490
Craniocerebral injury	8	8	4	4	50.000	0.743	0.716	1.246	340
HIV infection	8	8	8	0	100.000	1.491	1.436	2.202	398
Quadriparesis	8	8	4	4	50.000	0.718	0.616	1.117	398
Therapeutic product effect delayed	8	8	0	8	0.000	0.733	0.692	1.035	457
Immune-mediated hepatitis	8	8	8	0	100.000	0.954	0.881	1.498	1967
Cryptococcosis	8	8	8	0	100.000	0.957	0.856	1.825	513
Immune-mediated lung disease	8	8	8	0	100.000	0.931	0.823	1.936	1495
Mantle cell lymphoma recurrent	8	8	7	1	87.500	1.050	0.787	2.686	630
Melanocytic naevus	8	8	0	8	0.000	0.944	0.769	1.720	283
Tibia fracture	8	8	3	5	37.500	0.747	0.652	1.146	871
Pneumoperitoneum	8	8	5	3	62.500	0.997	0.919	1.694	684
Thoracic vertebral fracture	8	8	1	7	12.500	0.921	0.982	1.200	911
Restrictive pulmonary disease	8	8	6	2	75.000	0.985	0.964	1.583	697
Post procedural haemorrhage	8	8	1	7	12.500	0.925	0.841	1.540	459
Derealisation	8	8	4	4	50.000	0.794	0.666	1.435	397
Rhonchi	8	8	3	5	37.500	1.067	1.131	1.514	509
Coronary artery bypass	8	8	6	2	75.000	0.674	0.651	1.000	764
Incorrect dose administered by device	7	7	4	3	57.143	0.673	0.586	0.871	3603
Skeletal injury	7	7	7	0	100.000	1.183	1.191	1.505	8450
General physical condition abnormal	7	7	4	3	57.143	0.734	0.731	1.053	284
Hepatorenal syndrome	7	7	7	0	100.000	0.909	0.884	1.131	219
Haemorrhagic diathesis	7	7	6	1	85.714	0.828	0.731	1.562	481
Hodgkin's disease recurrent	7	7	7	0	100.000	0.832	0.910	1.158	250
Increased upper airway secretion	7	7	0	7	0.000	0.973	0.672	1.832	455
Sputum purulent	7	7	3	4	42.857	1.173	0.945	2.128	487
Hypersexuality	7	7	6	1	85.714	0.865	0.772	1.186	638
Immune-mediated hepatic disorder	7	7	7	0	100.000	0.880	0.848	1.061	2047
Sinus node dysfunction	7	7	3	4	42.857	0.771	0.870	0.934	375
Skin fragility	7	7	0	7	0.000	1.269	1.261	1.985	226
Spinal column stenosis	7	7	0	7	0.000	0.727	0.649	1.162	431
Soft tissue swelling	7	7	0	7	0.000	1.331	1.484	1.693	326
Impaired self-care	7	7	1	6	14.286	0.799	0.719	1.142	297
Sinus operation	7	7	1	6	14.286	0.678	0.755	0.820	328
Sinus pain	7	7	0	7	0.000	1.582	1.555	2.932	493
Small cell lung cancer	7	7	5	2	71.429	0.855	0.767	1.440	235
Speech disorder developmental	7	7	5	2	71.429	0.656	0.640	0.876	2075
Immune-mediated myositis	7	7	7	0	100.000	1.163	1.100	1.579	438
Granulocyte count decreased	7	7	5	2	71.429	0.799	0.751	1.019	561
Gastrointestinal carcinoma	7	7	6	1	85.714	0.821	0.639	1.251	287
Slow speech	7	7	1	6	14.286	0.657	0.570	1.110	307
Drooling	7	7	4	3	57.143	0.759	0.699	1.015	518
BRASH syndrome	7	7	5	2	71.429	0.794	0.707	1.474	572
Oesophageal varices haemorrhage	7	7	5	2	71.429	1.041	1.060	1.528	554
Onycholysis	7	7	0	7	0.000	1.193	1.036	1.951	484
Oral fungal infection	7	7	2	5	28.571	0.851	0.945	1.276	278
Dermatitis psoriasiform	7	7	2	5	28.571	0.924	0.929	1.409	375
Macule	7	7	0	7	0.000	0.729	0.643	1.059	318
Blood culture positive	7	7	6	1	85.714	0.889	0.925	1.113	563
Painful respiration	7	7	0	7	0.000	0.859	0.779	1.216	253
Pancreatic carcinoma metastatic	7	7	5	2	71.429	0.736	0.754	0.973	638
Bipolar I disorder	7	7	3	4	42.857	0.818	0.636	1.493	307
Diabetic metabolic decompensation	7	7	7	0	100.000	0.972	0.899	1.724	628
Lung neoplasm	7	7	3	4	42.857	0.834	0.648	1.583	252
Paranasal sinus hypersecretion	7	7	0	7	0.000	0.788	0.720	1.065	408
Varicose vein	7	7	1	6	14.286	0.712	0.721	0.951	270
Behcet's syndrome	7	7	4	3	57.143	0.728	0.676	0.959	455
B-lymphocyte count decreased	7	7	1	6	14.286	1.047	0.953	1.605	531
Occupational exposure to product	7	7	2	5	28.571	1.819	1.744	3.230	1779
Pelvic fracture	7	7	1	6	14.286	0.765	0.745	1.101	478
Liver transplant	7	7	5	2	71.429	0.891	0.827	1.185	456
Vascular stent thrombosis	7	7	7	0	100.000	0.949	0.914	1.460	1224
Drug screen false positive	7	7	4	3	57.143	0.689	0.700	0.850	312
Autoimmune thyroiditis	7	7	1	6	14.286	0.958	0.766	2.420	761
Performance status decreased	7	7	5	2	71.429	0.779	0.749	1.235	371
Vein disorder	7	7	1	6	14.286	0.815	0.718	1.264	731
Periorbital swelling	7	7	0	7	0.000	0.894	0.711	1.461	1095
Dysbiosis	7	7	6	1	85.714	1.075	1.031	1.610	397
Dysplasia	7	7	5	2	71.429	0.761	0.642	1.382	315
Left ventricular failure	7	7	4	3	57.143	0.872	0.793	1.113	393
Ejection fraction abnormal	7	7	7	0	100.000	1.252	1.342	1.857	491
Electric shock sensation	7	7	0	7	0.000	1.098	0.999	1.837	269
Electroencephalogram abnormal	7	7	3	4	42.857	0.879	0.536	1.566	387
Oculogyric crisis	7	7	6	1	85.714	0.895	0.818	1.293	1074
Medical device complication	7	7	0	7	0.000	1.739	1.739	2.280	577
Plasma cell myeloma recurrent	7	7	5	2	71.429	0.647	0.650	0.964	1468
Necrosis ischaemic	7	7	7	0	100.000	0.693	0.714	0.986	359
Chorioretinopathy	7	7	7	0	100.000	1.004	0.937	1.613	360
Chronic graft versus host disease in liver	7	7	4	3	57.143	1.021	0.940	1.836	464
Cervical vertebral fracture	7	7	2	5	28.571	0.813	0.811	1.176	277
Cerebral venous thrombosis	7	7	0	7	0.000	0.833	0.755	1.213	297
Staring	7	7	2	5	28.571	0.765	0.722	1.219	324
Nail discolouration	7	7	2	5	28.571	0.730	0.633	1.068	585
Cerebral toxoplasmosis	7	7	5	2	71.429	0.933	0.780	1.790	665
Multiple use of single-use product	7	7	0	7	0.000	0.861	0.889	1.228	708
Cerebral haematoma	7	7	6	1	85.714	0.778	0.817	0.961	386
Multiple injuries	7	7	5	2	71.429	0.837	0.822	1.431	458
Traumatic haemorrhage	7	7	7	0	100.000	1.476	1.373	1.905	452
Near death experience	7	7	0	7	0.000	0.675	0.653	0.918	530
Neck injury	7	7	0	7	0.000	0.718	0.596	1.153	348
Congenital umbilical hernia	7	7	6	1	85.714	0.999	0.966	1.690	401
Cell death	7	7	6	1	85.714	0.778	0.765	1.190	264
Bronchial disorder	7	7	2	5	28.571	1.004	0.960	1.840	424
Catheterisation cardiac	7	7	2	5	28.571	0.792	0.679	1.405	514
Catheter site infection	7	7	5	2	71.429	0.724	0.776	0.895	1040
Tongue discomfort	7	7	2	5	28.571	0.756	0.710	1.122	329
Trichosporon infection	7	7	7	0	100.000	0.955	1.028	1.183	207
Coronary arterial stent insertion	7	7	4	3	57.143	0.744	0.766	1.067	670
Metastases to skin	7	7	3	4	42.857	0.864	0.882	1.104	362
Tic	7	7	3	4	42.857	0.828	0.749	1.272	688
Creatinine renal clearance decreased	7	7	5	2	71.429	1.640	0.750	3.680	1241
Calciphylaxis	7	7	5	2	71.429	0.812	0.774	1.504	761
Metabolic syndrome	7	7	7	0	100.000	1.018	0.922	1.707	750
Refusal of treatment by patient	7	7	5	2	71.429	0.689	0.628	1.051	567
Retroperitoneal haematoma	7	7	7	0	100.000	0.682	0.697	0.785	545
Bronchial obstruction	7	7	2	5	28.571	0.981	0.776	1.554	707
Retroperitoneal haemorrhage	7	7	7	0	100.000	0.916	0.836	1.443	503
Pulmonary pain	7	7	0	7	0.000	0.716	0.666	1.044	599
Cholangitis sclerosing	7	7	4	3	57.143	0.763	0.802	1.075	343
Polymyalgia rheumatica	7	7	2	5	28.571	0.818	0.708	1.277	517
Pneumomediastinum	7	7	6	1	85.714	0.796	0.788	1.256	583
Wrong patient received medication	7	7	1	6	14.286	1.957	1.541	4.460	2068
Injection site inflammation	7	7	0	7	0.000	0.776	0.697	1.209	515
Vitreous floaters	7	7	2	5	28.571	0.762	0.700	1.010	460
Sensitive skin	7	7	0	7	0.000	0.799	0.807	1.059	492
Acute graft versus host disease in intestine	7	7	5	2	71.429	0.795	0.826	1.115	748
Product leakage	7	7	4	3	57.143	0.807	0.777	1.145	794
Aneurysm	7	7	2	5	28.571	0.788	0.727	1.231	270
Secondary immunodeficiency	7	7	7	0	100.000	0.977	0.972	1.245	570
Investigation	7	7	6	1	85.714	0.713	0.597	1.121	968
Acute promyelocytic leukaemia	7	7	5	2	71.429	1.238	0.924	2.224	362
Follicular lymphoma	7	7	7	0	100.000	0.775	0.750	0.990	559
Posture abnormal	7	7	4	3	57.143	0.965	0.809	1.607	471
Adenocarcinoma pancreas	7	7	7	0	100.000	0.876	0.885	1.253	311
Alpha haemolytic streptococcal infection	7	7	5	2	71.429	0.866	0.827	1.321	365
Stress fracture	7	7	0	7	0.000	1.055	0.985	1.778	901
Kounis syndrome	7	7	4	3	57.143	1.063	1.107	1.664	550
Sudden cardiac death	7	7	7	0	100.000	0.938	0.969	1.345	504
Pseudomonal bacteraemia	7	7	7	0	100.000	1.137	1.131	1.676	203
Self-injurious ideation	7	7	2	5	28.571	0.859	0.901	1.113	486
Airway remodelling	7	7	2	5	28.571	1.182	1.119	1.683	392
Intercepted product preparation error	7	7	5	2	71.429	1.977	2.140	2.998	9055
Vital capacity decreased	7	7	6	1	85.714	1.393	1.436	2.803	943
Pseudomembranous colitis	7	7	6	1	85.714	0.914	0.758	1.374	355
Kidney fibrosis	7	7	6	1	85.714	0.759	0.656	1.098	550
Ketoacidosis	7	7	7	0	100.000	0.593	0.581	0.682	2252
Platelet transfusion	7	7	5	2	71.429	0.680	0.685	0.787	529
Product solubility abnormal	7	7	2	5	28.571	0.857	0.918	1.221	710
Pleurisy	7	7	0	7	0.000	0.885	0.956	1.045	290
Abulia	7	7	3	4	42.857	0.863	0.743	1.288	209
Enterovirus infection	7	7	4	3	57.143	0.805	0.765	1.195	336
Infusion site extravasation	7	7	3	4	42.857	0.776	0.763	1.053	394
Eosinophil count decreased	7	7	4	3	57.143	0.999	0.904	1.805	419
Prolonged expiration	7	7	7	0	100.000	0.903	1.042	1.187	633
Infusion site erythema	7	7	0	7	0.000	0.856	0.886	1.227	492
Pneumocystis jirovecii infection	7	7	6	1	85.714	0.751	0.760	0.955	554
Injection site discharge	7	7	5	2	71.429	1.063	1.070	1.399	840
Visceral leishmaniasis	7	7	7	0	100.000	0.941	0.755	1.944	349
Protein total increased	7	7	4	3	57.143	0.793	0.786	1.059	265
Abdominal adhesions	6	6	3	3	50.000	0.872	0.816	1.441	1390
Red blood cells urine positive	6	6	2	4	33.333	0.944	1.001	1.223	443
Human herpesvirus 8 infection	6	6	6	0	100.000	1.057	1.071	1.257	526
Bronchitis chronic	6	6	5	1	83.333	1.018	0.943	1.449	967
Adrenal suppression	6	6	2	4	33.333	1.314	1.492	1.731	476
Cholangiocarcinoma	6	6	5	1	83.333	0.735	0.760	0.861	217
Nuclear magnetic resonance imaging abnormal	6	6	0	6	0.000	0.849	0.817	1.229	1261
Type IV hypersensitivity reaction	6	6	3	3	50.000	0.771	0.788	1.010	492
Reduced facial expression	6	6	4	2	66.667	0.796	0.698	1.301	224
Refractory cancer	6	6	5	1	83.333	0.951	0.856	1.526	192
C-reactive protein decreased	6	6	0	6	0.000	1.327	0.943	3.157	371
Hearing impaired	6	6	2	4	33.333	0.728	0.702	1.095	620
Wound complication	6	6	4	2	66.667	1.125	0.984	1.796	405
Hyperglycaemic hyperosmolar nonketotic syndrome	6	6	6	0	100.000	0.891	0.742	1.396	231
Regurgitation	6	6	2	4	33.333	0.805	0.724	1.461	598
Product colour issue	6	6	4	2	66.667	0.638	0.626	0.810	411
Carbohydrate antigen 15-3 increased	6	6	0	6	0.000	5.119	5.174	7.391	186
Acne cystic	6	6	0	6	0.000	1.193	0.859	3.111	2791
Abdominal infection	6	6	4	2	66.667	0.803	0.703	1.430	244
Nephritis	6	6	5	1	83.333	0.864	0.863	1.138	282
Nephrectomy	6	6	5	1	83.333	1.232	1.298	1.804	448
Product formulation issue	6	6	1	5	16.667	1.023	0.982	1.693	1494
Accidental poisoning	6	6	2	4	33.333	0.688	0.655	0.963	309
Nasal oedema	6	6	3	3	50.000	1.438	1.395	2.253	778
Acinetobacter infection	6	6	6	0	100.000	0.789	0.749	1.040	319
Acute febrile neutrophilic dermatosis	6	6	2	4	33.333	0.913	0.939	1.068	332
Actinic keratosis	6	6	3	3	50.000	0.843	0.866	1.197	292
Hypotonia neonatal	6	6	4	2	66.667	0.861	0.968	1.053	469
Appendicectomy	6	6	1	5	16.667	0.772	0.653	1.164	956
Bone marrow oedema	6	6	2	4	33.333	0.826	0.773	1.153	230
Heparin-induced thrombocytopenia	6	6	6	0	100.000	0.906	0.824	1.588	598
Atypical mycobacterial infection	6	6	2	4	33.333	0.744	0.644	1.377	259
Band sensation	6	6	0	6	0.000	1.080	1.160	1.313	565
Hepatitis fulminant	6	6	5	1	83.333	0.881	0.875	1.326	206
Pneumonia staphylococcal	6	6	2	4	33.333	0.750	0.732	1.022	240
Histoplasmosis	6	6	4	2	66.667	0.790	0.717	1.150	427
Pelvic venous thrombosis	6	6	0	6	0.000	1.145	1.110	1.472	208
Myelofibrosis	6	6	6	0	100.000	0.785	0.747	0.989	320
Vision abnormal neonatal	6	6	6	0	100.000	0.732	0.709	0.891	585
Vasogenic cerebral oedema	6	6	6	0	100.000	1.443	1.444	2.012	313
Antiphospholipid syndrome	6	6	3	3	50.000	0.724	0.607	1.108	313
Peritoneal cloudy effluent	6	6	6	0	100.000	0.863	0.882	1.241	1312
Breech presentation	6	6	0	6	0.000	2.024	1.996	2.634	315
Pulmonary veno-occlusive disease	6	6	3	3	50.000	0.865	0.826	1.231	326
Ventricular dysfunction	6	6	5	1	83.333	0.784	0.713	1.295	381
Areflexia	6	6	2	4	33.333	1.068	0.964	1.743	282
Apraxia	6	6	2	4	33.333	0.800	0.795	0.996	265
Pulmonary mucormycosis	6	6	5	1	83.333	0.852	0.736	1.293	553
Philadelphia chromosome positive	6	6	6	0	100.000	0.893	0.848	1.240	565
Aphagia	6	6	4	2	66.667	0.684	0.584	1.146	454
Pulmonary sepsis	6	6	4	2	66.667	0.917	0.884	1.325	251
Application site exfoliation	6	6	4	2	66.667	0.983	0.934	1.502	1456
Anorectal discomfort	6	6	3	3	50.000	0.767	0.781	1.031	249
Papillary thyroid cancer	6	6	0	6	0.000	0.849	0.765	1.225	239
Biliary tract infection	6	6	6	0	100.000	1.325	1.115	2.281	283
Homicidal ideation	6	6	4	2	66.667	0.911	0.894	1.229	231
Obliterative bronchiolitis	6	6	6	0	100.000	0.950	0.782	1.934	458
Rectal prolapse	6	6	0	6	0.000	1.602	1.279	3.010	330
Bradyarrhythmia	6	6	6	0	100.000	0.842	0.850	1.076	351
Oligohydramnios	6	6	0	6	0.000	2.696	2.098	5.445	320
On and off phenomenon	6	6	6	0	100.000	0.926	0.802	1.471	4143
Alcohol interaction	6	6	3	3	50.000	0.820	0.833	1.118	367
Alopecia areata	6	6	0	6	0.000	1.093	1.026	1.685	277
Oral surgery	6	6	1	5	16.667	1.591	1.327	3.450	548
Blood pressure diastolic abnormal	6	6	1	5	16.667	1.004	0.937	1.708	343
Blood phosphorus decreased	6	6	3	3	50.000	0.757	0.773	1.018	561
Blood immunoglobulin G decreased	6	6	1	5	16.667	1.058	0.963	1.814	319
Urinary tract infection bacterial	6	6	3	3	50.000	0.757	0.695	1.071	269
Blood fibrinogen decreased	6	6	3	3	50.000	0.797	0.831	1.001	297
Pre-existing condition improved	6	6	1	5	16.667	0.736	0.701	1.099	348
Hepatic neoplasm	6	6	2	4	33.333	0.950	0.755	1.640	294
Blood blister	6	6	4	2	66.667	0.739	0.694	1.015	215
Psychiatric decompensation	6	6	4	2	66.667	1.063	0.994	1.628	1162
Pancreatic disorder	6	6	5	1	83.333	0.660	0.638	0.900	319
Skin warm	6	6	1	5	16.667	1.045	1.086	1.530	263
Muscle rupture	6	6	2	4	33.333	0.861	0.789	1.331	601
Gingivitis	6	6	1	5	16.667	0.755	0.727	0.942	580
Mycotic allergy	6	6	0	6	0.000	2.500	2.478	4.108	786
Joint noise	6	6	2	4	33.333	0.568	0.542	0.700	567
Gingival hypertrophy	6	6	2	4	33.333	0.927	0.992	1.282	260
Labyrinthitis	6	6	2	4	33.333	0.893	0.732	1.839	398
Embolism venous	6	6	4	2	66.667	0.899	0.707	1.708	360
Gingival swelling	6	6	0	6	0.000	0.683	0.648	1.000	538
Systolic dysfunction	6	6	2	4	33.333	1.082	1.104	1.233	334
T-cell type acute leukaemia	6	6	6	0	100.000	1.363	1.368	1.925	189
Ligament rupture	6	6	0	6	0.000	0.754	0.615	1.277	887
Limb deformity	6	6	2	4	33.333	1.010	0.901	1.895	663
Temperature regulation disorder	6	6	4	2	66.667	1.395	1.240	2.657	1305
Linear IgA disease	6	6	5	1	83.333	0.866	0.784	1.281	226
Listeriosis	6	6	6	0	100.000	0.688	0.625	0.932	426
Disseminated cryptococcosis	6	6	6	0	100.000	0.953	1.001	1.232	313
Diffuse alveolar damage	6	6	6	0	100.000	0.898	0.905	1.249	208
Graft loss	6	6	6	0	100.000	1.141	1.085	1.585	434
Lung transplant	6	6	4	2	66.667	0.807	0.638	1.366	525
Graft versus host disease in liver	6	6	4	2	66.667	0.765	0.729	1.114	406
Device use error	6	6	2	4	33.333	0.602	0.592	0.754	2951
Grand mal convulsion	6	6	1	5	16.667	0.700	0.640	0.915	216
Therapeutic response changed	6	6	0	6	0.000	0.756	0.689	1.266	313
Therapeutic response delayed	6	6	2	4	33.333	0.715	0.706	0.862	407
Macular oedema	6	6	4	2	66.667	0.643	0.613	0.952	413
Malacoplakia	6	6	3	3	50.000	1.025	0.739	1.809	820
Malignant melanoma in situ	6	6	6	0	100.000	0.912	0.938	1.320	271
Gingival disorder	6	6	0	6	0.000	1.276	0.872	2.672	311
Suspected counterfeit product	6	6	5	1	83.333	0.971	0.843	1.732	717
Malignant transformation	6	6	6	0	100.000	0.737	0.719	0.968	435
Erythema of eyelid	6	6	2	4	33.333	1.146	1.149	1.367	1687
Gastroenteritis norovirus	6	6	4	2	66.667	0.943	0.906	1.300	438
Sickle cell anaemia with crisis	6	6	2	4	33.333	0.679	0.628	0.870	1081
Infusion site reaction	6	6	2	4	33.333	1.113	0.661	2.293	1303
Steroid diabetes	6	6	4	2	66.667	0.691	0.637	1.026	410
Injection related reaction	6	6	0	6	0.000	1.135	1.005	2.121	281
Gastrointestinal sounds abnormal	6	6	2	4	33.333	1.062	1.046	1.484	621
Fournier's gangrene	6	6	6	0	100.000	0.718	0.632	1.289	1641
Injection site injury	6	6	0	6	0.000	0.801	0.727	1.295	861
Streptococcal bacteraemia	6	6	4	2	66.667	0.772	0.812	0.934	327
Serous retinal detachment	6	6	6	0	100.000	0.802	0.812	1.048	662
Fixed eruption	6	6	2	4	33.333	1.106	1.124	1.683	425
Fibula fracture	6	6	1	5	16.667	0.788	0.787	1.059	517
Subacute cutaneous lupus erythematosus	6	6	2	4	33.333	0.916	0.886	1.636	280
Gastrointestinal wall thickening	6	6	3	3	50.000	0.804	0.850	1.123	254
Intestinal polyp	6	6	0	6	0.000	1.486	1.435	2.308	431
Extravasation	6	6	4	2	66.667	0.714	0.759	0.830	240
Iron overload	6	6	4	2	66.667	0.695	0.692	0.799	322
Expanded disability status scale score increased	6	6	0	6	0.000	1.195	1.181	1.669	314
Ischaemic cardiomyopathy	6	6	5	1	83.333	0.826	0.745	1.304	963
Secondary adrenocortical insufficiency	6	6	5	1	83.333	1.067	1.054	1.555	365
