adverse_event	n_signals	n_drugs	n_female_signals	n_male_signals	pct_female	mean_abs_lr	median_abs_lr	max_abs_lr	total_reports
Colitis ulcerative	75	75	51	24	68.000	1.247	1.046	2.807	20707
Nephrolithiasis	74	74	29	45	39.189	1.042	0.758	3.328	11633
Restlessness	74	74	48	26	64.865	0.800	0.701	1.726	6311
Low birth weight baby	74	74	35	39	47.297	1.036	0.833	4.502	6420
Renal failure acute	74	74	65	9	87.838	0.829	0.759	1.815	7149
Blood bilirubin increased	73	73	52	21	71.233	0.959	0.697	3.293	8178
Rash pruritic	73	73	49	24	67.123	0.821	0.763	1.899	14166
Dementia	73	73	51	22	69.863	0.870	0.790	2.133	7075
Drug eruption	73	73	50	23	68.493	0.886	0.749	2.837	10077
Hypoacusis	73	73	40	33	54.795	0.870	0.727	4.076	8964
Skin burning sensation	73	73	4	69	5.479	0.915	0.815	2.077	11001
Neutrophil count decreased	72	72	39	33	54.167	0.883	0.793	1.879	12795
Sedation	72	72	37	35	51.389	1.395	1.081	4.360	21028
Orthostatic hypotension	72	72	54	18	75.000	1.241	0.961	4.058	11595
Nervousness	72	72	10	62	13.889	0.784	0.710	1.724	7393
Eye irritation	71	71	10	61	14.085	0.795	0.735	1.362	20368
Altered state of consciousness	71	71	55	16	77.465	0.778	0.727	1.699	7515
Systemic lupus erythematosus	71	71	32	39	45.070	1.808	1.781	3.909	140065
Skin lesion	71	71	34	37	47.887	0.901	0.744	2.104	7249
Anaphylactic shock	71	71	29	42	40.845	0.841	0.747	2.909	8092
Gamma-glutamyltransferase increased	71	71	44	27	61.972	0.789	0.704	1.523	5044
Nervous system disorder	71	71	30	41	42.254	0.861	0.795	1.934	4872
Stevens-Johnson syndrome	71	71	58	13	81.690	0.855	0.773	1.866	6189
Leukocytosis	70	70	36	34	51.429	0.783	0.711	2.992	4318
Swollen tongue	70	70	25	45	35.714	1.107	0.924	2.532	9406
Joint stiffness	70	70	39	31	55.714	1.137	0.881	3.092	19723
Hepatic steatosis	70	70	30	40	42.857	0.911	0.794	1.804	7270
Pallor	70	70	32	38	45.714	0.793	0.685	1.800	7320
Vasculitis	69	69	13	56	18.841	1.440	1.024	4.913	9663
Gout	69	69	36	33	52.174	0.954	0.853	3.331	6599
Mucosal inflammation	69	69	49	20	71.014	0.915	0.744	2.620	11422
Bronchiectasis	69	69	22	47	31.884	1.346	1.223	2.963	13432
Pollakiuria	69	69	40	29	57.971	0.770	0.723	1.726	7645
Staphylococcal infection	69	69	40	29	57.971	0.753	0.689	2.158	4989
Accidental exposure to product	69	69	11	58	15.942	1.080	0.843	5.491	25425
Disseminated intravascular coagulation	68	68	57	11	83.824	0.843	0.779	1.580	4401
Urinary incontinence	68	68	29	39	42.647	0.827	0.702	2.614	6247
Angina pectoris	68	68	51	17	75.000	0.982	0.796	2.526	9722
Aggression	68	68	46	22	67.647	0.869	0.765	1.735	10223
Aphasia	68	68	41	27	60.294	0.952	0.765	2.087	7649
Intestinal obstruction	67	67	40	27	59.701	0.848	0.763	2.369	5953
Skin ulcer	67	67	44	23	65.672	0.859	0.749	2.420	14180
Feeling cold	67	67	22	45	32.836	0.931	0.792	2.292	5018
Ocular hyperaemia	67	67	25	42	37.313	0.841	0.784	2.263	14149
Haematoma	67	67	51	16	76.119	0.856	0.804	1.693	5668
Tubulointerstitial nephritis	67	67	39	28	58.209	0.876	0.774	2.131	11064
Lip swelling	67	67	19	48	28.358	0.806	0.692	2.090	7939
Psoriatic arthropathy	66	66	48	18	72.727	1.699	1.411	4.100	68249
Neoplasm progression	66	66	4	62	6.061	0.933	0.800	2.318	12707
Skin disorder	66	66	40	26	60.606	0.827	0.765	1.626	5587
Ischaemic stroke	66	66	36	30	54.545	0.893	0.803	2.306	4600
Disturbance in attention	66	66	30	36	45.455	0.737	0.652	1.486	5897
