drug_name	adverse_event	direction	log_ratio	ror_female	ror_male	n_female	n_male	total_reports
CERTOLIZUMAB	Maternal exposure during pregnancy	male_higher	-0.923856774787438	15.62619991052134	39.362192001750266	7634	225	7859
CERTOLIZUMAB	Gait disturbance	female_higher	0.9236332629568	1.8429480808807568	0.7317862940627794	1557	111	1668
AXICABTAGENE CILOLEUCEL	Cytokine release syndrome	female_higher	0.9233662047409652	2393.3765043484186	950.600800708959	1351	2017	3368
TADALAFIL	Fatigue	female_higher	0.9232803561322853	1.3685952520619618	0.5436250555959486	801	319	1120
RITUXIMAB	Pruritus	female_higher	0.9231767940036527	2.3316914698754885	0.9262761811095305	4014	810	4824
CELECOXIB	Dyspepsia	female_higher	0.9228943778135525	7.515530921513672	2.986425810122383	949	87	1036
HYDROXYCHLOROQUINE	Treatment failure	female_higher	0.9225321803364044	46.159811708394315	18.349041939343046	6104	669	6773
ADALIMUMAB	Procedural pain	male_higher	-0.922531253775319	3.1862213852586025	8.015418102848498	2032	925	2957
QUETIAPINE	General physical health deterioration	female_higher	0.9213620659776988	4.180656319145236	1.6638033933492868	819	266	1085
SECUKINUMAB	Synovitis	female_higher	0.921231084792896	27.275970316698455	10.856619885257835	2575	181	2756
USTEKINUMAB	Malaise	female_higher	0.9210896637058572	1.7024432588058995	0.6777171687028709	1996	369	2365
SECUKINUMAB	Alopecia	female_higher	0.9204074751770098	2.775029292423045	1.1054514767768464	3388	165	3553
ALENDRONIC ACID	Synovitis	female_higher	0.9201588317166607	210.69602333915572	83.95304171668667	4455	58	4513
FAMPRIDINE	Multiple sclerosis	male_higher	-0.9193114722617679	13.190312089930114	33.07554209746286	1549	689	2238
TRAMADOL	Gastrooesophageal reflux disease	female_higher	0.9192576341610638	5.826091588002056	2.3235327041271203	877	192	1069
CANDESARTAN	Fall	female_higher	0.9186209052600655	6.538324541777857	2.6092427395037716	841	170	1011
ADALIMUMAB	Rheumatoid factor positive	female_higher	0.9183826014043048	77.55225602366603	30.956078554080904	3400	87	3487
TOCILIZUMAB	Peripheral swelling	female_higher	0.9180917335898624	10.28245812602725	4.10558242696854	6536	550	7086
NATALIZUMAB	Multiple sclerosis	male_higher	-0.9177091034092753	23.20958012203693	58.10630821781269	4645	1689	6334
TRASTUZUMAB	Rash	female_higher	0.9168923741185777	1.3867029575229202	0.5543475637470677	1288	36	1324
ACETYLSALICYLIC ACID	Toxicity to various agents	female_higher	0.9167574651776929	4.046568001495811	1.6178719096512235	972	579	1551
CERTOLIZUMAB	Asthma	female_higher	0.9161716897833267	2.0920957808152214	0.8369379372381344	1053	61	1114
CALCIUM	Off label use	female_higher	0.9161529230970556	6.502713072767052	2.6014437061814517	2174	288	2462
DICLOFENAC	Asthenia	female_higher	0.915535228461044	2.667467483036249	1.0677934101166218	1946	370	2316
VITAMIN D3	Diarrhoea	female_higher	0.9150509394407323	4.316935630159595	1.7289164213640291	1026	146	1172
ADALIMUMAB	Liver disorder	female_higher	0.9145984637066648	2.884095805142218	1.1555922402766057	1956	433	2389
HYDROCORTISONE	Weight decreased	female_higher	0.9144263155772241	4.984921816777095	1.9976897822208752	859	205	1064
TRIAMCINOLONE	Condition aggravated	female_higher	0.9143114663225291	6.383985201816113	2.5586533266672373	1039	194	1233
FLUTICASONE;SALMETEROL	Sleep disorder due to a general medical condition	male_higher	-0.914289106279075	24.35498649699618	60.76571422326886	637	689	1326
INTERFERON BETA-1B	Multiple sclerosis relapse	male_higher	-0.9140602846573413	25.014191273091466	62.396151537589134	1225	383	1608
DICLOFENAC	Diarrhoea	female_higher	0.9140183802554074	1.8935491851270256	0.7591427548544987	2584	431	3015
USTEKINUMAB	Weight decreased	female_higher	0.9137223713234821	1.5760690103690072	0.6320488506176798	931	282	1213
METHOTREXATE	Treatment failure	female_higher	0.9135968915858137	22.63269229490776	9.077497338887248	9454	1898	11352
IBANDRONIC ACID	Femur fracture	female_higher	0.912328148575364	75.68060383699243	30.392435796131206	1388	13	1401
RAMIPRIL	Malaise	female_higher	0.9117582344683455	3.2888680945657227	1.321523485701853	1281	341	1622
TOCILIZUMAB	Musculoskeletal stiffness	female_higher	0.9117178358731364	16.073145281678478	6.458725766291291	5084	408	5492
FINGOLIMOD	Hepatic enzyme increased	male_higher	-0.9116754317757598	4.445403323149038	11.062334314392375	931	451	1382
TOCILIZUMAB	Hypersensitivity	female_higher	0.9116150523426725	11.06386172234909	4.446285568724533	7283	470	7753
ABATACEPT	Psoriasis	female_higher	0.9109826049839969	1.9608627855622416	0.7885195871310896	1320	91	1411
ETANERCEPT	Lung disorder	female_higher	0.910963928487117	3.164319523667019	1.2724880819854918	2295	337	2632
RITUXIMAB	Anaphylactic reaction	female_higher	0.910834935730654	5.411450795375088	2.176422100905197	1169	260	1429
APREMILAST	Hypersensitivity	female_higher	0.9108134483450921	2.0114234137236973	0.8089883108838836	1881	207	2088
ACETYLSALICYLIC ACID	Maternal exposure during pregnancy	female_higher	0.9100425664982504	5.050069700909003	2.0326888613857634	1292	28	1320
TOCILIZUMAB	Mobility decreased	female_higher	0.9096208213930346	12.601282162551971	5.074245004730147	3463	278	3741
DENOSUMAB	Alopecia	male_higher	-0.908749642388408	0.685500866852006	1.700877215277688	1248	93	1341
TIOTROPIUM	Condition aggravated	male_higher	-0.9087331798049437	0.9436026223215296	2.34124544074046	509	625	1134
SECUKINUMAB	Depression	female_higher	0.9084917030755729	1.6979294291211118	0.6844893609172011	1636	329	1965
