drug_name	adverse_event	log_ratio	n_female	n_male	ror_female	ror_male	direction	abs_lr
CERTOLIZUMAB	Liver injury	3.811	1884	11	26.828	0.594	female_higher	3.811
PARACETAMOL	Irritable bowel syndrome	3.810	2471	12	32.665	0.723	female_higher	3.810
DESVENLAFAXINE	Maternal exposure during pregnancy	-3.809	18	11	0.303	13.676	male_higher	3.809
FOLIC ACID	Abdominal discomfort	3.807	2148	16	78.024	1.733	female_higher	3.807
VITAMIN B9	Blister	3.807	2629	14	102.556	2.279	female_higher	3.807
ADALIMUMAB	Glossodynia	3.805	6373	38	21.037	0.468	female_higher	3.805
MELATONIN	Abdominal distension	-3.799	10	221	0.838	37.386	male_higher	3.799
RITUXIMAB	Wound	3.798	5178	71	52.851	1.185	female_higher	3.798
CELECOXIB	Nightmare	-3.794	19	265	0.500	22.217	male_higher	3.794
SULFAMETHOXAZOLE;TRIMETHOPRIM	Folliculitis	3.789	2012	26	259.946	5.877	female_higher	3.789
TAMSULOSIN	Product use issue	3.787	98	29	10.760	0.244	female_higher	3.787
PEGINTERFERON ALFA-2A	Pregnancy	-3.785	60	31	2.959	130.255	male_higher	3.785
GOLIMUMAB	Helicobacter infection	3.782	3163	11	199.846	4.552	female_higher	3.782
FOLINIC ACID	Anti-cyclic citrullinated peptide antibody positive	-3.781	11	23	2.052	90.014	male_higher	3.781
MORPHINE	Orthostatic hypotension	3.778	381	16	16.608	0.380	female_higher	3.778
DICLOFENAC	Hepatic enzyme increased	3.768	4267	42	37.052	0.856	female_higher	3.768
RANITIDINE	Epilepsy	3.764	475	17	2.317	0.054	female_higher	3.764
HYDROCORTISONE	Type 2 diabetes mellitus	3.761	1810	14	92.497	2.151	female_higher	3.761
NAPROXEN	Pulmonary fibrosis	3.760	766	10	29.353	0.683	female_higher	3.760
PARACETAMOL	Arthropathy	3.759	2925	19	12.630	0.294	female_higher	3.759
HYDROMORPHONE	Hepatic enzyme increased	3.757	545	10	5.686	0.133	female_higher	3.757
PARACETAMOL	Ill-defined disorder	3.756	2072	20	14.098	0.330	female_higher	3.756
SULFAMETHOXAZOLE	Pruritus	3.754	1628	10	52.391	1.228	female_higher	3.754
NORETHISTERONE	Premature baby	-3.753	10	11	11.018	470.101	male_higher	3.753
TRASTUZUMAB	Oligohydramnios	-3.753	72	20	8.519	363.171	male_higher	3.753
