kg_node_id,kg_drug_name,chembl_id,atc_code,atc_name,atc_l1,atc_l1_desc,atc_l2,atc_l2_desc,atc_l3,atc_l3_desc,atc_l4,atc_l4_desc,source
DRUG:KETOCONAZOLE,KETOCONAZOLE,CHEMBL157101,H02CA03,ketoconazole,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02C,ANTIADRENAL PREPARATIONS,H02CA,Anticorticosteroids,ChEMBL_36
DRUG:KETOCONAZOLE,KETOCONAZOLE,CHEMBL157101,D01AC08,ketoconazole,D,DERMATOLOGICALS,D01,ANTIFUNGALS FOR DERMATOLOGICAL USE,D01A,ANTIFUNGALS FOR TOPICAL USE,D01AC,Imidazole and triazole derivatives,ChEMBL_36
DRUG:KETOCONAZOLE,KETOCONAZOLE,CHEMBL157101,J02AB02,ketoconazole,J,ANTIINFECTIVES FOR SYSTEMIC USE,J02,ANTIMYCOTICS FOR SYSTEMIC USE,J02A,ANTIMYCOTICS FOR SYSTEMIC USE,J02AB,Imidazole derivatives,ChEMBL_36
DRUG:KETOPROFEN,KETOPROFEN,CHEMBL571,M01AE53,"ketoprofen, combinations",M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AE,Propionic acid derivatives,ChEMBL_36
DRUG:KETOPROFEN,KETOPROFEN,CHEMBL571,M01AE03,ketoprofen,M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AE,Propionic acid derivatives,ChEMBL_36
DRUG:KETOPROFEN,KETOPROFEN,CHEMBL571,M02AA10,ketoprofen,M,MUSCULO-SKELETAL SYSTEM,M02,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,M02A,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,M02AA,"Antiinflammatory preparations, non-steroids for topical use",ChEMBL_36
DRUG:KETOROLAC,KETOROLAC,CHEMBL469,S01BC05,ketorolac,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BC,"Antiinflammatory agents, non-steroids",ChEMBL_36
DRUG:KETOROLAC,KETOROLAC,CHEMBL469,M01AB15,ketorolac,M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AB,Acetic acid derivatives and related substances,ChEMBL_36
DRUG:KETOTIFEN,KETOTIFEN,CHEMBL534,R06AX17,ketotifen,R,RESPIRATORY SYSTEM,R06,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06AX,Other antihistamines for systemic use,ChEMBL_36
DRUG:KETOTIFEN,KETOTIFEN,CHEMBL534,S01GX08,ketotifen,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01G,DECONGESTANTS AND ANTIALLERGICS,S01GX,Other antiallergics,ChEMBL_36
DRUG:LABETALOL,LABETALOL,CHEMBL429,C07AG01,labetalol,C,CARDIOVASCULAR SYSTEM,C07,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07AG,Alpha and beta blocking agents,ChEMBL_36
DRUG:LACIDIPINE,LACIDIPINE,CHEMBL460291,C08CA09,lacidipine,C,CARDIOVASCULAR SYSTEM,C08,CALCIUM CHANNEL BLOCKERS,C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08CA,Dihydropyridine derivatives,ChEMBL_36
DRUG:LACOSAMIDE,LACOSAMIDE,CHEMBL58323,N03AX18,lacosamide,N,NERVOUS SYSTEM,N03,ANTIEPILEPTICS,N03A,ANTIEPILEPTICS,N03AX,Other antiepileptics,ChEMBL_36
DRUG:LACTIC ACID,LACTIC ACID,CHEMBL1200559,G01AD01,lactic acid,G,GENITO URINARY SYSTEM AND SEX HORMONES,G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01A,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AD,Organic acids,ChEMBL_36
