drug_id	cluster	pc1	pc2
CHEMBL1201754	11	0.455669	-0.3300409
CHEMBL2180604	13	0.41585305	-0.41760638
CHEMBL1567	13	0.540647	-0.21488287
CHEMBL1200715	11	0.4217593	-0.41275352
CHEMBL2109590	15	0.3898827	-0.41185528
CHEMBL2109642	17	0.6255889	-0.49339724
CHEMBL135400	11	0.553335	-0.47437367
CHEMBL2108673	17	0.56737643	-0.29795444
CHEMBL2109283	13	0.6435645	-0.12514606
CHEMBL1743044	13	0.6209937	-0.33121747
CHEMBL1201505	13	0.62924504	-0.2892051
CHEMBL580	11	0.4231392	-0.13963485
CHEMBL1121	19	0.53401345	-0.4056706
CHEMBL2109367	13	0.29504955	-0.24297528
CHEMBL4559134	13	0.4772007	-0.29610914
CHEMBL593430	11	0.3905134	-0.4315379
CHEMBL2105741	13	0.5661566	-0.31011856
CHEMBL2109281	15	0.5367246	-0.35243887
CHEMBL4650293	15	0.25368166	-0.035816222
CHEMBL1683544	15	0.39687082	-0.2396262
CHEMBL2364609	11	0.56036764	-0.33851013
CHEMBL2106155	11	0.44960475	-0.11541319
CHEMBL3184799	19	0.5356757	-0.45612788
CHEMBL1200873	19	0.48981923	-0.39362976
CHEMBL1230609	13	0.57301885	-0.059415072
CHEMBL2220486	13	0.6552225	-0.36041144
CHEMBL1200841	11	0.42423195	-0.22053935
CHEMBL2103852	15	0.37344658	-0.42881078
CHEMBL1201748	15	0.36218664	-0.2897008
CHEMBL21536	19	0.6293062	-0.12942785
CHEMBL2308782	19	0.5330165	-0.23859505
CHEMBL1083659	19	0.4967345	-0.25707215
CHEMBL2109556	15	0.28003675	-0.32555974
CHEMBL92	15	0.41302648	-0.21471132
CHEMBL2107759	15	0.44575673	-0.05000499
CHEMBL4297736	15	0.40462622	-0.36011767
CHEMBL4297440	15	0.60442096	-0.14406583
CHEMBL2109574	15	0.35661352	-0.2071547
CHEMBL2304041	15	0.52521294	-0.28250423
CHEMBL1743082	15	0.49670184	-0.3095802
CHEMBL2107358	13	0.39332002	-0.12870622
CHEMBL1637	15	0.30370253	-0.22069156
CHEMBL1800807	1	0.52841455	-0.06751171
CHEMBL4297935	15	0.44936544	-0.14701536
CHEMBL3301582	15	0.22843951	-0.4616809
CHEMBL1096380	15	0.45621216	-0.28913423
CHEMBL4297527	19	0.49994922	-0.37824988
CHEMBL511115	19	0.48374945	-0.042351246
CHEMBL217899	19	0.47250795	-0.30041206
CHEMBL266510	11	0.39285415	-0.44146168
CHEMBL2010601	15	0.72179204	-0.1489918
CHEMBL1370561	19	0.56404746	-0.2113898
CHEMBL1200395	11	0.47276372	-0.23831148
CHEMBL1201022	11	0.47113228	-0.3613527
CHEMBL20684	15	0.3738049	-0.37971535
CHEMBL2110725	15	0.22273958	-0.30206013
CHEMBL3545252	15	0.38361531	-0.3951994
CHEMBL4073443	6	0.6913397	-0.3490997
CHEMBL2103815	11	0.3292745	-0.19203174
CHEMBL3545135	15	0.29212257	-0.39991835
CHEMBL2109667	13	0.37142923	-0.21096438
CHEMBL3527000	15	0.4066267	-0.11377585
CHEMBL3833372	13	0.5253675	-0.24108912
CHEMBL2105683	17	0.62703484	-0.29135686
CHEMBL3181947	1	0.54856306	-0.24468505
CHEMBL25	17	0.6523071	-0.4380718
CHEMBL4297300	15	0.42362493	-0.1921255
CHEMBL4297521	11	0.33303618	-0.1270409
CHEMBL38380	13	0.6689075	-0.13741758
CHEMBL4297255	11	0.4438038	-0.2821033
CHEMBL2109128	17	0.6210969	-0.13406056
CHEMBL4297800	13	0.5948559	-0.26622954
CHEMBL3545153	13	0.48070663	-0.29363316
CHEMBL1200694	11	0.38594836	-0.3270464
CHEMBL1341	11	0.45778227	-0.49779105
CHEMBL4297517	11	0.41326123	-0.34348992
CHEMBL2402904	17	0.7752141	-0.38923073
CHEMBL539423	19	0.64279383	-0.37216187
CHEMBL2110814	11	0.56087554	-0.32786158
CHEMBL1743067	17	0.6436909	-0.34120345
CHEMBL983	11	0.62177545	-0.29862332
