drug_name	pt	ror_female	ror_male	log_ror_ratio	a_female	a_male
SULFASALAZINE	Folliculitis	187.12225508582839	3.288663461584616	4.041280934193274	2928	14
NITROGLYCERIN	Creatinine renal clearance decreased	160.3350495559274	2.8179369337701936	4.041260652028795	468	11
NAPROXEN SODIUM	Liver injury	37.02357357482283	0.6522057504016123	4.038950032146976	1232	10
FOLIC ACID	Helicobacter infection	101.45691030799598	1.8049678137559948	4.029091419446912	3783	19
SULFASALAZINE	Pericarditis	220.83436063752	3.9292300298733824	4.028969435590631	4643	31
ALENDRONATE SODIUM	Pericarditis	200.2758096021186	3.581244033961643	4.023985228975195	4512	16
AMLODIPINE BESYLATE	Sedation complication	28.161719864392555	0.5048968574015514	4.021364717491083	452	10
RITUXIMAB	Obesity	28.252925158788067	0.508272830295936	4.017933905736926	1290	32
METHOTREXATE	Glossodynia	39.41618968276793	0.7108042865817782	4.01553478963508	6452	28
RITUXIMAB	Folliculitis	111.88044774023976	2.0285585557256507	4.010105400531565	3090	37
TOFACITINIB CITRATE	Infusion related reaction	13.40946853089374	0.24480211725157047	4.00326614368884	5045	19
GOLIMUMAB	Helicobacter infection	226.50231771250705	4.1409038294148415	4.001841097303566	3503	11
MYCOPHENOLATE MOFETIL	Sciatica	30.97569856622872	0.5670076119765723	4.000585530184668	1069	11
INFLIXIMAB	Obesity	29.223689031488483	0.5371876546941392	3.996387444010257	1298	27
CHLORHEXIDINE	Blister	187.63969867675024	3.4798678595552195	3.9875293059274037	2110	16
PSEUDOEPHEDRINE HYDROCHLORIDE	Discomfort	101.60385120666065	1.9157255222705396	3.970985026316674	3044	11
RITUXIMAB	Helicobacter infection	152.03244279235903	2.8868379316400676	3.9639321756809793	3796	31
ADALIMUMAB	Prescribed overdose	4.085697843256644	0.07826497958459629	3.955147579876361	1271	15
CHLORHEXIDINE GLUCONATE	Joint swelling	76.76887947244224	1.4778174131557353	3.9502330643649195	2934	14
TOCILIZUMAB	Folliculitis	200.18474374255067	3.8723902822126344	3.945368698534458	3585	23
ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE	Pericarditis	30.83595454570536	0.6033739946756861	3.933899415701271	1395	15
CAFFEINE	General physical health deterioration	40.79747252580741	0.7992078274026522	3.9327543892427808	661	10
SECUKINUMAB	Delirium	6.83579801897084	0.13406619689312618	3.931594812495077	712	15
ADALIMUMAB	Glossodynia	24.146061233490837	0.47532767437087636	3.9278721428727756	6794	38
SULFAMETHOXAZOLE	Gastrointestinal disorder	85.14669522992554	1.6761642270573522	3.927867610434052	1723	19
SULFAMETHOXAZOLE	Lower respiratory tract infection	148.30219795947764	2.9198849713737234	3.9277078479298813	1678	19
CHLORHEXIDINE GLUCONATE	Impaired healing	323.42602394917805	6.423387597275927	3.919024772090791	2645	16
USTEKINUMAB	Liver injury	32.09279664649448	0.64138224618025	3.9127612733177175	1505	22
ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE	Lower respiratory tract infection	12.34700418117141	0.24722188717315224	3.9108824741977983	1717	23
DICLOFENAC SODIUM	Obesity	43.99715176044875	0.8891268960112332	3.90164021259046	1050	17
LEVOFLOXACIN	Sedation	12.103049977080982	0.24577505176723888	3.8967960701620084	502	11
RITUXIMAB	Hypercholesterolaemia	42.09910881449599	0.8575217433911477	3.893735315701674	1251	17
FINASTERIDE	Exposure via father	208.17948089941152	4.276101541583038	3.8853588568230495	14	10
CHLORHEXIDINE	Swelling	95.50064823704803	1.965958859676857	3.883152939682019	2087	13
TOCILIZUMAB	Pericarditis	152.85956940627864	3.164291632145816	3.8775904352569746	4756	35
OXYCODONE	Pericarditis	51.63582005420536	1.0695971884792983	3.8769335005180507	2023	24
