drug_name	n_signals	n_female_higher	n_male_higher	mean_log_ratio	max_log_ratio	min_log_ratio	female_pct
MIDAZOLAM	107	67	40	0.3262668761255448	2.706082158883742	-1.5855578650564912	62.6
METHADONE	107	79	28	0.4248744008549712	1.772258064928248	-2.356430370489978	73.8
PAMIDRONIC ACID	107	50	57	-0.06661382808303938	1.2817667966979087	-2.3810128140868816	46.7
BUSULFAN	106	88	18	0.6786163843743057	2.1375113361858085	-2.0716313891256095	83.0
ENOXAPARIN	105	55	50	0.10129600852292311	2.1697146123010667	-1.6045423269437227	52.4
ATOMOXETINE	105	72	33	1.0212576178264028	3.9591480045181546	-1.695285641247022	68.6
AMPHOTERICIN B	105	87	18	0.6420700866032335	2.467201746132658	-1.7704441892566307	82.9
PEGFILGRASTIM	104	48	56	-0.09063511748448617	2.9978379965594253	-2.6306075986230284	46.2
BOSENTAN	104	35	69	-0.3499818060844789	1.1092476487655931	-1.9461546023381133	33.7
NINTEDANIB	103	78	25	0.4122984452606436	1.503417879615295	-1.327896208126902	75.7
PAZOPANIB	103	48	55	-0.014630341966264162	2.034085929995762	-1.7624784157184232	46.6
SARILUMAB	103	60	43	0.5469138359156113	2.9479990683021997	-1.7545158536334082	58.3
VALACICLOVIR	103	63	40	0.22811401320133814	1.9498433570940055	-1.774822219234027	61.2
RITONAVIR	102	43	59	-0.11567744553639446	1.8144608529021904	-1.8139856432743335	42.2
DAUNORUBICIN	102	74	28	0.37160835727882047	1.3806014774575481	-1.9286852912640406	72.5
DARBEPOETIN ALFA	102	45	57	-0.3311511763531306	1.5383356765486567	-3.4478030505965656	44.1
TRASTUZUMAB	101	31	70	-0.8069315928496759	1.8052351244588491	-5.864657873936223	30.7
VINCRISTINE SULFATE	101	82	19	0.5873487365065095	1.9714322343952715	-1.2512483674536647	81.2
LIRAGLUTIDE	101	14	87	-0.7928738132764735	0.9924297816651361	-2.691165860046669	13.9
BASILIXIMAB	101	89	12	0.7849410934067942	2.3191383990844585	-1.1690830709028628	88.1
ANAKINRA	100	48	52	-0.15616590816969084	1.794554253837941	-3.71322234560295	48.0
FOLIC ACID	100	31	69	-0.4099023405335251	3.8074372806798493	-2.617669748403416	31.0
MINOCYCLINE	100	55	45	0.2837626897384286	3.0187734303256475	-3.0686542623972244	55.0
METOCLOPRAMIDE	100	48	52	-0.11264179076943469	2.395784176623811	-2.4105534162717834	48.0
HYDROXYCHLOROQUINE SULFATE	99	28	71	-0.7386828373991641	1.9514668660746164	-4.063517666856617	28.3
LACOSAMIDE	98	48	50	-0.05146651679179117	1.4133473715295521	-1.599812072298911	49.0
CLINDAMYCIN	98	42	56	-0.14535385335237064	1.3082783984310047	-1.5336796911454318	42.9
GLYCERYL TRINITRATE	98	62	36	0.45325077700118616	4.057777458796252	-1.9517423462326084	63.3
IFOSFAMIDE	98	72	26	0.3920111198350936	1.8879541569051854	-1.98357867578392	73.5
METAMIZOLE	98	29	69	-0.6251375693775824	1.3517081437110234	-3.379022240894305	29.6
LISDEXAMFETAMINE	97	26	71	-0.5384226865502032	1.0057668981094494	-2.454008002341763	26.8
IRBESARTAN	97	42	55	-0.06992104313595301	2.7219317607033706	-1.9847326647437293	43.3
EMPAGLIFLOZIN	96	58	38	0.152216881413083	1.3441842437184273	-1.3450735061381298	60.4
MERCAPTOPURINE	96	67	29	0.41420299287711826	1.6148653310695527	-1.2273169137500024	69.8
