adverse_event	n_signals	n_female_higher	n_male_higher	mean_log_ratio	n_drugs	female_pct
Pulmonary congestion	60	21	39	-0.303643822255826	60	35.0
Viral infection	59	17	42	-0.4237531713499169	59	28.8
Coronary artery disease	59	39	20	0.2581589019782945	59	66.1
Toxic skin eruption	59	41	18	0.3280378287156524	59	69.5
Irritable bowel syndrome	59	31	28	0.8154937129374386	59	52.5
Atelectasis	59	31	28	0.145642958121311	59	52.5
Fear	59	8	51	-0.6319189670883381	59	13.6
Coagulopathy	58	36	22	0.2125504667974977	58	62.1
Intentional self-injury	58	24	34	-0.10967152386657877	58	41.4
Drug effect incomplete	58	19	39	-0.26707841203021865	58	32.8
Skin irritation	58	1	57	-0.9979471981979406	58	1.7
Limb discomfort	58	18	40	-0.4251436553459362	58	31.0
Gastritis	58	17	41	-0.4137516087954887	58	29.3
Blood potassium decreased	58	24	34	-0.1435679339191788	58	41.4
Drug level increased	57	37	20	0.2703685838091197	57	64.9
Osteonecrosis	57	55	2	0.9208727820607121	57	96.5
Respiratory tract infection	57	36	21	0.3340616270696743	57	63.2
Haematocrit decreased	57	36	21	0.2530506512348602	57	63.2
Micturition urgency	57	7	50	-1.1144397707373055	57	12.3
Face oedema	57	26	31	-0.15802201260711163	57	45.6
Crying	57	10	47	-0.7326886709047552	57	17.5
Pathogen resistance	57	53	4	0.7700828048693144	57	93.0
Adverse reaction	57	21	36	-0.08613565596821184	57	36.8
Myelodysplastic syndrome	56	48	8	0.7483037383288611	56	85.7
Mental disorder	56	31	25	0.12358970348847699	56	55.4
Cyanosis	56	30	26	0.039110922572303496	56	53.6
