pt	n_drugs	n_signals	mean_bias	median_bias	n_strong	n_f_biased	n_m_biased	max_bias
Polyhydramnios	7	7	-1.915720410981719	-1.852177153277666	7	0	7	2.59381889263603
Polymerase chain reaction positive	1	1	0.5101034491089017	0.5101034491089017	1	1	0	0.5101034491089017
Polymyalgia rheumatica	23	23	0.30092852178481905	0.6211687012030178	23	16	7	1.2815108807238749
Polymyositis	12	12	0.31866878529152065	0.5889778769606044	12	9	3	1.222521997279123
Polyneuropathy	86	86	0.40408112583644856	0.6399845091035969	86	63	23	1.607180829451071
Polyomavirus test positive	2	2	1.1109274312628319	1.1109274312628319	2	2	0	1.7069022165025507
Polyomavirus viraemia	14	14	0.8768396882529613	0.7288292059186304	14	13	1	2.325733643209313
Polyomavirus-associated nephropathy	27	27	0.9764733229215151	1.030575121817131	27	26	1	1.8844979285456744
Polyp	54	54	-0.06227427752627864	-0.5452106173604436	54	25	29	1.5009293757601725
Polypectomy	2	2	-1.1615962866364686	-1.1615962866364686	2	0	2	1.8145061256573791
Polysubstance dependence	3	3	1.3344832762415455	1.2078793060280797	3	3	0	1.655377687991906
Polyuria	64	64	0.5375290304689297	0.6407514208172658	64	54	10	1.4588742734210303
Poor feeding infant	6	6	-0.051831313759080934	0.011138338040078744	6	3	3	1.0391809355853032
Poor peripheral circulation	23	23	0.45158216951739016	0.705802613776948	23	18	5	1.1067375120428138
Poor personal hygiene	1	1	0.8548538303475077	0.8548538303475077	1	1	0	0.8548538303475077
Poor quality device used	7	7	0.14127121209307472	0.6227001943834036	7	4	3	0.8239022074160284
Poor quality drug administered	9	9	-0.4079598660762475	-0.5931440982556176	9	2	7	1.1899126170300542
Poor quality product administered	21	21	-0.19722976457298425	-0.5917835209641572	21	7	14	1.5479577591658646
Poor quality sleep	83	83	0.3202129478378863	0.623917360627157	83	57	26	1.5306940202602612
Poor venous access	57	57	0.2749400838080676	0.591250215476464	57	38	19	2.0061418460665843
Porphyria acute	4	4	0.4148522983985184	0.30915067813407593	4	2	2	1.8789698276129883
Portal fibrosis	1	1	-0.5013594052498906	-0.5013594052498906	1	0	1	0.5013594052498906
Portal hypertension	26	26	0.6139235590059214	0.6923315883121907	26	23	3	1.4172585454333764
Portal hypertensive gastropathy	3	3	1.0381148633324475	0.7737446381404729	3	3	0	1.6189450130738405
Portal vein thrombosis	22	22	0.2371301215134391	0.6362101884600897	22	14	8	1.264921743389379
Positive airway pressure therapy	1	1	0.6019274048176799	0.6019274048176799	1	1	0	0.6019274048176799
Post concussion syndrome	1	1	-1.050311431566274	-1.050311431566274	1	0	1	1.050311431566274
Post herpetic neuralgia	10	10	-0.4834218070187687	-0.6899842524812889	10	2	8	1.1439407074640129
Post inflammatory pigmentation change	2	2	-1.2151377252291176	-1.2151377252291176	2	0	2	1.2157174587856845
Post lumbar puncture syndrome	1	1	-0.7624614977851218	-0.7624614977851218	1	0	1	0.7624614977851218
Post procedural complication	61	61	0.21538548746249753	0.5536708475497784	61	40	21	1.3931297152185624
Post procedural contusion	1	1	0.6619796900785049	0.6619796900785049	1	1	0	0.6619796900785049
Post procedural discharge	4	4	-0.7125746461078247	-0.7267934269112476	4	0	4	0.8952668266795878
Post procedural discomfort	1	1	-2.719368443575008	-2.719368443575008	1	0	1	2.719368443575008
Post procedural fistula	1	1	-0.5500586976672174	-0.5500586976672174	1	0	1	0.5500586976672174
Post procedural haematoma	3	3	-0.46767151599988727	-0.9317051036021172	3	1	2	1.1682563148701728
Post procedural haemorrhage	66	66	-0.4177840126815803	-0.5713543813291206	66	15	51	1.554296783138466
Post procedural hypothyroidism	2	2	-0.9444707979101403	-0.9444707979101403	2	0	2	0.9533942547039368
Post procedural infection	40	40	-0.14406135824176527	-0.5356751489914762	40	18	22	1.2953130035191764
Post procedural inflammation	1	1	-0.5064519102997802	-0.5064519102997802	1	0	1	0.5064519102997802
Post procedural sepsis	1	1	-0.520044583263574	-0.520044583263574	1	0	1	0.520044583263574
Post procedural stroke	1	1	-0.6505301435159669	-0.6505301435159669	1	0	1	0.6505301435159669
Post procedural swelling	3	3	0.20951929623493556	0.5393879481335652	3	2	1	0.6165238366075575
Post thrombotic syndrome	1	1	-1.020576124439746	-1.020576124439746	1	0	1	1.020576124439746
Post transplant distal limb syndrome	3	3	0.09223912242279338	-0.53885232628245	3	1	2	1.8565416039045624
Post transplant lymphoproliferative disorder	28	28	0.57750928941109	0.8733036081851535	28	22	6	1.7878262930957702
Post-acute COVID-19 syndrome	8	8	-0.5302121916260057	-0.8442836854437726	8	2	6	1.2128608094713804
Post-depletion B-cell recovery	1	1	-1.1448522516005408	-1.1448522516005408	1	0	1	1.1448522516005408
Post-injection delirium sedation syndrome	2	2	0.6519774640002656	0.6519774640002656	2	2	0	0.6892663777957891
Post-traumatic stress disorder	49	49	0.16924159530408847	0.6149248126492795	49	27	22	1.4558485530275767
Posterior reversible encephalopathy syndrome	93	93	0.4654321055432522	0.710580245925383	93	69	24	1.6604860055210853
Postictal paralysis	2	2	-0.031009101719670418	-0.031009101719670418	2	1	1	1.0605838243427959
Postictal state	5	5	-0.09400421418321592	-0.5904032732067859	5	2	3	1.1307101594570754
Postmortem blood drug level abnormal	2	2	0.3342776166112973	0.3342776166112973	2	1	1	2.0213108216896063
Postmortem blood drug level increased	2	2	-0.1346395352360828	-0.1346395352360828	2	1	1	1.1264347820318916
Postoperative abscess	3	3	-0.6771896270772012	-0.674536107433312	3	0	3	0.805632094950855
Postoperative adhesion	1	1	-0.7343464583680965	-0.7343464583680965	1	0	1	0.7343464583680965
Postoperative hernia	1	1	-0.762269526830402	-0.762269526830402	1	0	1	0.762269526830402
Postoperative ileus	1	1	0.6021131637327757	0.6021131637327757	1	1	0	0.6021131637327757
Postoperative wound complication	2	2	-0.8382851566806366	-0.8382851566806366	2	0	2	1.0920433733311097
