drug_name	n_aes	n_signals	mean_bias	n_strong	n_f_biased	n_m_biased	max_bias
CLADRIBINE	60	60	-0.6018467320761893	60	11	49	1.9357596011468678
CLARITHROMYCIN	237	237	-0.12884086018580185	237	96	141	2.071391747969915
CLARITIN CHEWABLE TABLETS	1	1	0.7279317943628907	1	1	0	0.7279317943628907
CLARITIN ORAL SOLUTION	3	3	0.45113519034179284	3	2	1	1.2578396537129588
CLARITIN-D-24	2	2	-0.7581815080311279	2	0	2	0.8606149833075969
CLASCOTERONE	1	1	0.9629165994719473	1	1	0	0.9629165994719473
CLAVULANATE POTASSIUM	7	7	-1.3082571665443035	7	0	7	2.203559894294986
CLAVULANIC ACID	6	6	0.15833728706653366	6	4	2	0.7714892446326787
CLEMASTINE	20	20	-0.32435132925911303	20	6	14	1.243212424586196
CLEMASTINE FUMARATE	19	19	0.6075409468789005	19	17	2	1.6098175640902073
CLIKSTAR	2	2	0.06174654897030718	2	1	1	0.6739043036247642
CLINDAMYCIN	154	154	0.11310319242873089	154	90	64	1.8577763913250607
CLINDAMYCIN HYDROCHLORIDE	40	40	-0.3935367962272746	40	10	30	1.3108304658445595
CLINDAMYCIN PHOSPHATE	33	33	-0.5295501637592458	33	6	27	1.300826637175125
CLIOQUINOL	6	6	-0.8368781973821333	6	0	6	1.038609879641058
CLOBAZAM	111	111	-0.04222160476853821	111	54	57	2.0374867994838826
CLOBETASOL	75	75	-0.2579799182723438	75	28	47	1.6918088486292258
CLOBETASOL PROPIONATE	51	51	-0.44112473825255044	51	12	39	1.640381126434402
CLOBETASONE BUTYRATE	40	40	-1.4695240441811632	40	7	33	3.29083710128361
CLODRONATE DISODIUM	2	2	1.0196856107520036	2	2	0	1.180557094229348
CLOFARABINE	22	22	0.35757361008357885	22	16	6	1.5798660197711643
CLOFAZIMINE	49	49	0.4378706241623171	49	40	9	1.0527617762608026
CLOMETHIAZOLE	2	2	0.03634675279016497	2	1	1	0.6201538311495843
CLOMIPHENE	1	1	-0.688142171437826	1	0	1	0.688142171437826
CLOMIPHENE CITRATE	6	6	-0.7352775772400945	6	1	5	1.2758851963634186
CLOMIPRAMINE	44	44	-0.16148869083812706	44	20	24	2.2151432577357513
CLOMIPRAMINE HYDROCHLORIDE	32	32	0.2610136959960478	32	20	12	1.3042891640498733
CLONAZEPAM	499	499	0.08668915107868305	499	285	214	2.714045104238513
CLONIDINE	244	244	0.18550389072345067	244	151	93	2.6550778394106085
CLONIDINE HYDROCHLORIDE	99	99	0.5826329306877408	99	72	27	2.3624767781767217
CLOPIDOGREL	1	1	0.9434167912214018	1	1	0	0.9434167912214018
CLOPIDOGREL BESILATE	2	2	0.1709621888688359	2	1	1	0.8457587955336745
CLOPIDOGREL BISULFATE	506	506	0.4864728277361911	506	399	107	2.488280858387493
CLORAZEPATE DIPOTASSIUM	52	52	0.4020855214763254	52	38	14	1.7228619578832474
CLOSTRIDIUM BUTYRICUM SPORES STRAIN M-55	41	41	0.4671077685979252	41	33	8	1.1246151621027067
CLOTHIAPINE	7	7	0.9217351690014761	7	7	0	1.2891967879263537
CLOTIAZEPAM	8	8	-0.21747407576029737	8	3	5	0.9121984403575957
CLOTRIMAZOLE	96	96	-0.3208856813848722	96	37	59	3.298764941965669
CLOXACILLIN	5	5	0.5968668762981713	5	4	1	1.2952243822308704
CLOXACILLIN SODIUM	4	4	0.8704362981146035	4	4	0	1.1367260732984878
CLOZAPINE	322	322	0.3949518152696326	322	225	97	4.95897905179149
CO Q 10 /00517201/	1	1	-0.8187880532918623	1	0	1	0.8187880532918623
CO-CODAMOL	19	19	-0.7319347038379772	19	3	16	1.7551253979002415
CO-Q10	1	1	-0.7070986685918143	1	0	1	0.7070986685918143
CO-TRIMOXAZOLE	1	1	1.127215143197961	1	1	0	1.127215143197961
COAGULATION FACTOR IX HUMAN\COAGULATION FACTOR VII HUMAN\COAGULATION FACTOR X HUMAN\PROTEIN C\PROTEIN S HUMAN\PROTHROMBIN	6	6	0.7662017655328063	6	6	0	1.0530190182598655
COAGULATION FACTOR IX RECOMBINANT HUMAN	3	3	1.5665788728782664	3	3	0	1.9931163060097794
COAGULATION FACTOR VIIA RECOMBINANT HUMAN	7	7	0.9546613725268356	7	7	0	1.7667186824362886
COAL TAR	14	14	0.8812819745700562	14	9	5	2.7292946248546057
COBAMAMIDE	13	13	-0.5219012741639827	13	5	8	1.7976965874058861
COBICISTAT	2	2	0.17267729317604896	2	1	1	0.8524851268083413
COBICISTAT\DARUNAVIR ETHANOLATE	26	26	0.5208542367397805	26	18	8	2.590107789244766
COBICISTAT\DARUNAVIR\EMTRICITABINE\TENOFOVIR ALAFENAMIDE	14	14	0.6481467971986431	14	12	2	1.4609531114666656
COBICISTAT\ELVITEGRAVIR\EMTRICITABINE\TENOFOVIR	1	1	0.7884577546150447	1	1	0	0.7884577546150447
COBICISTAT\ELVITEGRAVIR\EMTRICITABINE\TENOFOVIR ALAFENAMIDE FUMARATE	42	42	0.2603619722736533	42	26	16	2.1685648048645394
COBICISTAT\ELVITEGRAVIR\EMTRICITABINE\TENOFOVIR DISOPROXIL FUMARATE	37	37	0.2706171560971062	37	21	16	2.7762834319566383
COBIMETINIB	21	21	0.04823517817773323	21	11	10	1.1830975750938812
COCAETHYLENE	1	1	0.7745971982392447	1	1	0	0.7745971982392447
COCAINE	72	72	0.4650226766716517	72	54	18	1.9709715692148726
COCAINE HYDROCHLORIDE	5	5	1.0202445958979551	5	5	0	1.299941398528782
COCOA BUTTER\PETROLATUM\PHENYLEPHRINE HYDROCHLORIDE\PHENYLEPHRINE HYDROCHLORIDE OR MINERAL OIL	2	2	0.7854350507428837	2	2	0	0.8302033122714513
COCOA BUTTER\PHENYLEPHRINE HYDROCHLORIDE	1	1	-1.2647249185656175	1	0	1	1.2647249185656175
COCONUT OIL	4	4	-0.7499834046403913	4	0	4	1.0479997956508618
COD LIVER OIL	24	24	-0.23013502757108092	24	10	14	1.5888100776714023
CODEINE	324	324	0.7706028399149254	324	233	91	3.183273218253721
CODEINE PHOSPHATE	118	118	0.7134092874926682	118	95	23	2.4224049006730315
CODEINE PHOSPHATE\GUAIFENESIN	10	10	0.4555735841495678	10	8	2	1.129246055814414
CODEINE PHOSPHATE\IBUPROFEN	2	2	-0.7699865004303994	2	0	2	0.9675962970697038
CODEINE PHOSPHATE\PROMETHAZINE HYDROCHLORIDE	10	10	0.14464237251291615	10	6	4	0.9781169669345244
CODEINE SULFATE	15	15	-0.18303145724305742	15	8	7	2.274238429924541
CODEINE\PROMETHAZINE	4	4	2.916117952170283e-05	4	2	2	0.6881144849515707
COLCHICINE	221	221	0.5693303772986648	221	183	38	2.290648542184803
COLCHICINE\DICYCLOMINE HYDROCHLORIDE	2	2	1.0909558399751607	2	2	0	1.3694940648462368
COLCHICINE\OPIUM\TIEMONIUM METHYLSULFATE	2	2	0.7243849178049311	2	2	0	0.948369766003432
COLCHICINE\PROBENECID	2	2	1.005999570442933	2	2	0	1.2056642554641022
COLESEVELAM	6	6	-1.2978870527616266	6	0	6	2.3451296121733582
COLESEVELAM HYDROCHLORIDE	46	46	-0.7603054811967993	46	8	38	2.7747714428907457
COLESTIPOL	13	13	-0.14934084447825768	13	5	8	0.9549135981768997
COLESTIPOL HYDROCHLORIDE	12	12	-0.303404542105477	12	5	7	1.3921115042614567
COLISTIMETHATE SODIUM	9	9	0.11067266714329076	9	5	4	1.0287982328492384
COLISTIN	25	25	0.6800246847565157	25	22	3	1.5002124856996468
COLISTIN SULFATE	4	4	0.3254052779812847	4	3	1	0.6715777151682532
COLLAGEN	5	5	-0.6254960749749116	5	0	5	0.7211652337483477
