drug	n_signals	n_ae	n_trials	signal_rate
DRUG:MIRABEGRON	94	582	0	0.16151202749140894
DRUG:CARFILZOMIB	93	522	0	0.1781609195402299
DRUG:FILGRASTIM	93	591	0	0.15736040609137056
DRUG:TELAPREVIR	93	534	0	0.17415730337078653
DRUG:EXENATIDE	92	645	0	0.14263565891472868
DRUG:GLYCOPYRRONIUM	91	421	0	0.2161520190023753
DRUG:GLICLAZIDE	91	521	0	0.1746641074856046
DRUG:IXAZOMIB	90	532	0	0.16917293233082706
DRUG:BUPRENORPHINE;NALOXONE	90	576	0	0.15625
DRUG:DOMPERIDONE	89	539	0	0.16512059369202226
DRUG:SIROLIMUS	89	514	0	0.17315175097276264
DRUG:ACETAMINOPHEN	89	557	0	0.15978456014362658
DRUG:PHENYTOIN	88	638	0	0.13793103448275862
DRUG:OXAZEPAM	88	467	0	0.18843683083511778
DRUG:NOREPINEPHRINE	88	317	0	0.277602523659306
DRUG:MELOXICAM	87	576	0	0.15104166666666666
DRUG:CEFUROXIME	87	524	0	0.16603053435114504
DRUG:ZIPRASIDONE	87	359	0	0.24233983286908078
DRUG:MORPHINE SULFATE	86	378	0	0.2275132275132275
DRUG:ISONIAZID	85	385	0	0.22077922077922077
DRUG:OSELTAMIVIR	84	425	0	0.1976470588235294
DRUG:CALCIUM;VITAMIN D3	84	537	0	0.1564245810055866
DRUG:TERIPARATIDE	84	1278	0	0.06572769953051644
DRUG:ERLOTINIB	83	589	0	0.14091680814940577
DRUG:VARENICLINE	83	552	0	0.1503623188405797
DRUG:RIFAMPICIN	83	497	2	0.16700201207243462
DRUG:PARACETAMOL;TRAMADOL	83	484	0	0.17148760330578514
DRUG:APREPITANT	83	440	0	0.18863636363636363
DRUG:IXEKIZUMAB	82	540	0	0.15185185185185185
DRUG:RALTEGRAVIR	82	412	0	0.19902912621359223
DRUG:DABRAFENIB	81	519	0	0.15606936416184972
DRUG:DOLUTEGRAVIR	81	389	0	0.20822622107969152
DRUG:LURASIDONE	81	478	0	0.1694560669456067
DRUG:UMECLIDINIUM	80	429	0	0.1864801864801865
DRUG:VITAMIN D, UNSPECIFIED	80	498	0	0.1606425702811245
DRUG:LEDIPASVIR;SOFOSBUVIR	80	468	0	0.17094017094017094
DRUG:THEOPHYLLINE	80	481	0	0.16632016632016633
DRUG:TEMOZOLOMIDE	79	439	0	0.17995444191343962
DRUG:FELODIPINE	79	165	0	0.47878787878787876
DRUG:VITAMIN D2	79	502	0	0.15737051792828685
DRUG:PIRFENIDONE	79	568	0	0.13908450704225353
DRUG:TRAMETINIB	79	579	0	0.13644214162348878
DRUG:FLUTICASONE;UMECLIDINIUM;VILANTEROL	79	431	0	0.18329466357308585
DRUG:DASATINIB	79	628	0	0.12579617834394904
DRUG:DESOXIMETASONE	79	514	0	0.15369649805447472
DRUG:TEDUGLUTIDE	78	515	0	0.15145631067961166
DRUG:DEXLANSOPRAZOLE	78	397	0	0.1964735516372796
DRUG:HYDROCHLOROTHIAZIDE;VALSARTAN	78	559	0	0.13953488372093023
DRUG:HYDROXYZINE	78	573	0	0.13612565445026178
DRUG:DULAGLUTIDE	77	676	0	0.11390532544378698
DRUG:TERIFLUNOMIDE	77	928	0	0.08297413793103449
DRUG:VITAMIN C	77	517	3	0.14893617021276595
DRUG:SENNA SPP	76	323	0	0.23529411764705882
DRUG:IPRATROPIUM;SALBUTAMOL	76	430	0	0.17674418604651163
DRUG:VITAMIN B3	76	407	0	0.18673218673218672
DRUG:SORAFENIB	76	555	0	0.13693693693693693
DRUG:HYDROCODONE	76	441	0	0.17233560090702948
DRUG:ELTROMBOPAG	75	542	0	0.13837638376383765
DRUG:SOFOSBUVIR	75	467	0	0.16059957173447537
DRUG:SULFAMETHOXAZOLE	75	429	0	0.17482517482517482
DRUG:CYCLOBENZAPRINE	75	484	0	0.15495867768595042
DRUG:VITAMIN B12	74	535	4	0.1383177570093458
DRUG:COLCHICINE	74	484	0	0.15289256198347106
DRUG:KETAMINE	74	421	0	0.17577197149643706
DRUG:RIVASTIGMINE	74	450	0	0.16444444444444445
DRUG:AZITHROMYCIN ANHYDROUS	74	504	0	0.14682539682539683
DRUG:OBINUTUZUMAB	74	416	0	0.1778846153846154
DRUG:AMIKACIN	73	484	0	0.15082644628099173
DRUG:TELMISARTAN	73	569	0	0.1282952548330404
DRUG:CETUXIMAB	72	466	0	0.15450643776824036
DRUG:ENALAPRIL	72	393	0	0.183206106870229
DRUG:EPIRUBICIN	72	631	0	0.11410459587955626
DRUG:TEMAZEPAM	71	354	0	0.20056497175141244
DRUG:BUPIVACAINE	71	397	0	0.17884130982367757
DRUG:DIGOXIN	70	411	0	0.170316301703163
DRUG:REGORAFENIB	70	437	0	0.16018306636155608
DRUG:GLUCOSE	70	377	1	0.1856763925729443
DRUG:INTERFERON BETA-1B	70	505	0	0.13861386138613863
DRUG:CANAGLIFLOZIN	69	430	0	0.16046511627906976
DRUG:POSACONAZOLE	69	315	0	0.21904761904761905
DRUG:UMECLIDINIUM;VILANTEROL	68	422	0	0.16113744075829384
DRUG:PIMAVANSERIN	68	546	0	0.12454212454212454
DRUG:ERENUMAB	68	701	0	0.09700427960057062
DRUG:PONATINIB	68	481	0	0.14137214137214138
DRUG:METHYLPREDNISOLONE SODIUM SUCCINATE	68	334	0	0.20359281437125748
DRUG:CANAKINUMAB	68	401	0	0.16957605985037408
DRUG:MELATONIN	68	330	0	0.20606060606060606
DRUG:SELEXIPAG	68	790	0	0.08607594936708861
DRUG:SODIUM AUROTHIOMALATE	68	473	0	0.14376321353065538
DRUG:BROMAZEPAM	68	363	0	0.18732782369146006
DRUG:GOLD (198 AU)	68	490	0	0.13877551020408163
DRUG:DICLOFENAC SODIUM	67	293	0	0.22866894197952217
DRUG:OLMESARTAN	67	396	0	0.1691919191919192
